"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"1500000US170318225004","Block Group 4, Census Tract 8225, Cook County, Illinois","528","86","8","12","0","11","18","20","17","19","10","15","10","15","11","17","73","56","8","14","78","51","49","32","69","43","73","55","57","42","39","38","8","13"
"1500000US170318226011","Block Group 1, Census Tract 8226.01, Cook County, Illinois","560","67","0","11","0","11","32","30","17","20","9","14","43","30","19","20","39","38","34","27","54","56","48","35","56","31","90","53","51","41","52","33","16","18"
"1500000US170318226012","Block Group 2, Census Tract 8226.01, Cook County, Illinois","701","82","10","17","29","27","26","22","22","21","24","25","11","17","48","55","42","33","29","24","80","45","39","30","103","65","109","60","44","41","67","39","18","20"
"1500000US170318226013","Block Group 3, Census Tract 8226.01, Cook County, Illinois","439","71","0","11","0","11","20","21","39","30","13","20","10","16","0","11","12","20","10","17","25","21","43","34","143","70","31","27","37","37","38","40","18","24"
"1500000US170318226021","Block Group 1, Census Tract 8226.02, Cook County, Illinois","578","104","0","11","0","11","15","25","31","37","18","28","33","36","0","11","12","25","18","28","17","27","17","27","52","46","103","71","138","92","63","51","61","48"
"1500000US170318226022","Block Group 2, Census Tract 8226.02, Cook County, Illinois","993","127","15","24","6","14","32","37","45","43","15","26","0","11","36","40","17","25","0","11","96","76","124","86","187","83","101","61","118","73","128","70","73","60"
"1500000US170318226023","Block Group 3, Census Tract 8226.02, Cook County, Illinois","1249","171","123","102","183","137","84","57","68","84","87","65","77","54","17","26","90","52","18","28","91","66","179","112","53","43","126","122","19","30","0","11","34","39"
"1500000US170318227011","Block Group 1, Census Tract 8227.01, Cook County, Illinois","843","133","35","47","47","35","16","28","158","85","37","43","153","101","15","23","39","43","35","40","83","56","131","96","55","58","23","29","16","26","0","11","0","11"
"1500000US170318227012","Block Group 2, Census Tract 8227.01, Cook County, Illinois","432","105","32","36","0","11","21","24","13","22","66","63","0","11","17","30","52","49","0","11","0","11","33","38","70","45","32","38","66","65","0","11","30","33"
"1500000US170318227013","Block Group 3, Census Tract 8227.01, Cook County, Illinois","233","68","0","11","12","18","0","11","0","11","36","36","0","11","0","11","0","11","0","11","13","21","13","21","26","30","68","51","15","23","50","45","0","11"
